	time	x(km)	y(km)	z(km)	magnitude	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score	longitude	latitude	depth(m)
0	2009-12-26T05:15:54.614	269.2737121582031	-153.5862274169922	178.05162048339844	999	1.7838684426885527	0	0	0	19.0	-175.4214334635057	-20.368897866778028	178051.62048339844
1	2010-05-14T10:33:26.000	-112.54330444335938	30.311012268066406	10.0	999	3.3981002504498563	0	0	1	11.0	-179.06708821894287	-18.723103698088888	10000.0
2	2010-06-29T08:17:14.000	94.4170913696289	-43.22138214111328	12.327798843383789	999	18.03467725559546	0	0	2	8.0	-177.10120103384776	-19.388255744468452	12327.798843383789
