	time	x(km)	y(km)	z(km)	magnitude	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score	longitude	latitude	depth(m)
0	2009-12-18T16:16:35.463	-44.81006674887759	-411.55246721082136	558.6431203291359	999	0.9949909868056163	0	0	0	17.0	-178.43570919131116	-22.715365084706953	558643.1203291358
1	2009-12-18T16:30:05.617	2.1533071692542793	-267.98442285109843	621.6739999940909	999	1.0169484108977416	0	0	1	22.0	-177.97923973808716	-21.42030362796917	621673.9999940909
2	2009-12-26T00:58:08.145	159.69902545122596	-48.36775244429151	509.97299999274736	999	0.6206368157151241	0	0	2	16.0	-176.47940231410416	-19.430644318249165	509972.9999927474
3	2009-12-26T05:15:55.362	269.27953468772404	-151.40568063119102	175.9779798967539	999	1.64923074217317	0	0	3	19.0	-175.42169411558953	-20.34921474076246	175977.9798967539
4	2010-01-16T16:16:12.010	294.5133317931765	-93.2809538107641	235.84200555819857	999	0.7338916900764945	0	0	4	14.0	-175.1893398809921	-19.820963046590716	235842.00555819855
5	2010-05-14T10:33:25.112	157.38725792688615	-126.13035124278056	513.4311658136055	999	0.7030117867986534	0	0	5	11.0	-176.4949536005238	-20.13310850808322	513431.1658136055
6	2010-06-05T10:56:56.505	29.16446894400615	-444.8834687191131	626.4353238326087	999	0.648557779768852	0	0	6	10.0	-177.71584456958013	-23.016316483291817	626435.3238326086
7	2010-06-29T08:16:17.234	157.4396357115137	54.35054594215659	594.4534957605357	999	0.48171624874827174	0	0	7	8.0	-176.50918976289026	-18.503034384215884	594453.4957605357
